state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Zoloft,1692,30275.54,17.89,Sertraline Hcl,10651834,2000434.54,0.19,0.015882,29948.4
AK,Zoloft,1032,18836.5,18.25,Sertraline Hcl,536529,150540.01,0.28,0.191978,18545.04
AZ,Zoloft,1710,19992.85,11.69,Sertraline Hcl,12442742,2801549.44,0.23,0.013741,19596.6
AR,Zoloft,1582,25506.43,16.12,Sertraline Hcl,7221428,1351071.46,0.19,0.021902,25201.26
CA,Zoloft,11734,192837.54,16.43,Sertraline Hcl,47873927,9659530.12,0.2,0.024504,190442.82
CO,Zoloft,390,8266.83,21.2,Sertraline Hcl,8447376,2128919.23,0.25,0.004617,8170.5
CT,Zoloft,4880,65075.96,13.34,Sertraline Hcl,7854206,1874933.79,0.24,0.062094,63928.0
DE,Zoloft,0,0,N/A,Sertraline Hcl,2286835,684635.39,0.3,0.0,N/A
FL,Zoloft,7074,132610.97,18.75,Sertraline Hcl,50067712,8865483.67,0.18,0.014127,131364.18
GA,Zoloft,3118,63410.99,20.34,Sertraline Hcl,18747349,3785576.43,0.2,0.016629,62796.52
HI,Zoloft,330,3823.82,11.59,Sertraline Hcl,932441,166326.45,0.18,0.035378,3765.3
ID,Zoloft,0,0,N/A,Sertraline Hcl,3578202,690944.95,0.19,0.0,N/A
IL,Zoloft,4737,64212.78,13.56,Sertraline Hcl,23468982,5202549.49,0.22,0.02018,63191.58
IN,Zoloft,1806,26468.5,14.66,Sertraline Hcl,17570400,3854291.86,0.22,0.010278,26078.64
IA,Zoloft,1592,34100.3,21.42,Sertraline Hcl,8708972,1722977.86,0.2,0.018277,33782.24
KS,Zoloft,3673,67362.04,18.34,Sertraline Hcl,7019950,1323494.71,0.19,0.052295,66664.95
KY,Zoloft,1938,41972.16,21.66,Sertraline Hcl,13426098,2466607.99,0.18,0.014432,41628.24
LA,Zoloft,2446,37349.27,15.27,Sertraline Hcl,9474651,1802483.7,0.19,0.02581,36885.68
ME,Zoloft,750,9006.6,12.01,Sertraline Hcl,5920477,1467203.24,0.25,0.012666,8820.0
MD,Zoloft,780,9528.99,12.22,Sertraline Hcl,9637218,2129058.51,0.22,0.008093,9360.0
MA,Zoloft,8346,155688.06,18.65,Sertraline Hcl,19250959,3929556.87,0.2,0.043335,153983.7
MI,Zoloft,13210,171960.03,13.02,Sertraline Hcl,24755438,5607838.33,0.23,0.053334,168955.9
MN,Zoloft,3932,83071.07,21.13,Sertraline Hcl,14600304,3155183.19,0.22,0.026924,82218.12
MS,Zoloft,390,14129.96,36.23,Sertraline Hcl,6060595,1074112.47,0.18,0.006435,14059.5
MO,Zoloft,2226,38905.44,17.48,Sertraline Hcl,16087143,3360926.12,0.21,0.013835,38443.02
MT,Zoloft,720,6294.84,8.74,Sertraline Hcl,2209568,398862.9,0.18,0.032575,6163.2
NE,Zoloft,968,16088.87,16.62,Sertraline Hcl,4470678,934599.44,0.21,0.021648,15884.88
NV,Zoloft,2345,34603.28,14.76,Sertraline Hcl,4005515,776402.51,0.19,0.05851,34166.65
NH,Zoloft,1319,20824.08,15.79,Sertraline Hcl,3807586,910307.48,0.24,0.034629,20510.45
NJ,Zoloft,20372,324199.14,15.91,Sertraline Hcl,15071166,3077584.82,0.2,0.13499,320044.12
NM,Zoloft,1524,18587.83,12.2,Sertraline Hcl,3678143,906362.13,0.25,0.041417,18211.8
NY,Zoloft,26791,443228.86,16.54,Sertraline Hcl,37948795,8249569.34,0.22,0.070548,437229.12
NC,Zoloft,6546,142433.78,21.76,Sertraline Hcl,25129369,5646856.31,0.22,0.026042,141000.84
ND,Zoloft,660,8119.98,12.3,Sertraline Hcl,2376827,462674.34,0.19,0.02776,7992.6
OH,Zoloft,4327,73217.96,16.92,Sertraline Hcl,33151586,7046257.63,0.21,0.01305,72304.17
OK,Zoloft,645,7828.26,12.14,Sertraline Hcl,7381943,1515666.73,0.21,0.008737,7694.85
OR,Zoloft,690,12499.5,18.12,Sertraline Hcl,8818922,2014245.48,0.23,0.007823,12344.1
PA,Zoloft,17101,291839.79,17.07,Sertraline Hcl,38487988,8927169.85,0.23,0.044412,287980.84
RI,Zoloft,330,8158.59,24.72,Sertraline Hcl,3618558,888931.28,0.25,0.009119,8075.1
SC,Zoloft,14467,206424.42,14.27,Sertraline Hcl,11118526,2397546.35,0.22,0.129947,203261.35
SD,Zoloft,0,0,N/A,Sertraline Hcl,2102545,381898.73,0.18,0.0,N/A
TN,Zoloft,2444,36267.63,14.84,Sertraline Hcl,18553898,4257990.34,0.23,0.013171,35706.84
TX,Zoloft,10354,178948.94,17.28,Sertraline Hcl,42916718,8829233.16,0.21,0.02412,176742.78
UT,Zoloft,0,0,N/A,Sertraline Hcl,4292239,1031841.15,0.24,0.0,N/A
VT,Zoloft,1610,26244.06,16.3,Sertraline Hcl,1858853,376141.7,0.2,0.086538,25921.0
VA,Zoloft,2490,49486.02,19.87,Sertraline Hcl,15455525,3341428.63,0.22,0.016108,48928.5
WA,Zoloft,1444,28897.55,20.01,Sertraline Hcl,13428546,3230291.26,0.24,0.010752,28547.88
WV,Zoloft,360,6638.76,18.44,Sertraline Hcl,5851895,1098699.38,0.19,0.006151,6570.0
WI,Zoloft,2886,42867.6,14.85,Sertraline Hcl,16647104,3998658.98,0.24,0.017333,42164.46
WY,Zoloft,390,4944.69,12.68,Sertraline Hcl,1002437,205709.08,0.21,0.03889,4863.3
